asin,brand,title,url,image,rating,reviewUrl,totalReviews,price,originalPrice
B00727AODC,Samsung,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",https://www.amazon.com/Samsung-I677-Unlocked-Windows-Bluetooth/dp/B00727AODC,https://m.media-amazon.com/images/I/81O5HRPD1gL._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B00727AODC,123,0,0
B007LU0HU0,Samsung,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,https://www.amazon.com/Samsung-Replenish-SPH-M580-Contract-Sprint/dp/B007LU0HU0,https://m.media-amazon.com/images/I/814X9g3snHL._AC_UY218_ML3_.jpg,2.5,https://www.amazon.com/product-reviews/B007LU0HU0,10,249.99,0
B007X6FFLS,Samsung,Samsung a157 GoPhone (AT&T),https://www.amazon.com/Samsung-a157-GoPhone-AT-T/dp/B007X6FFLS,https://m.media-amazon.com/images/I/71Y+FpZYcFL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B007X6FFLS,305,97.69,0
B008PAW5EQ,Samsung,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",https://www.amazon.com/Samsung-Gusto-Prepaid-Verizon-Wireless/dp/B008PAW5EQ,https://m.media-amazon.com/images/I/71KNeSQtVfL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B008PAW5EQ,74,0,0
B00A408AF8,Samsung,"Samsung Galaxy Express, Gray 8GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-Express-Gray-8GB/dp/B00A408AF8,https://m.media-amazon.com/images/I/816B5o+yZkL._AC_UY218_ML3_.jpg,2.9,https://www.amazon.com/product-reviews/B00A408AF8,8,389.28,0
B00B5081MI,Samsung,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",https://www.amazon.com/Samsung-Unlocked-Internet-Capabilities-Speakerphone/dp/B00B5081MI,https://m.media-amazon.com/images/I/51gbQhGQWWL._AC_UY218_ML3_.jpg,2.4,https://www.amazon.com/product-reviews/B00B5081MI,49,114.99,0
B00BV1MVJ0,Samsung,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",https://www.amazon.com/Samsung-GT-I9500-Factory-Unlocked-Cellphone/dp/B00BV1MVJ0,https://m.media-amazon.com/images/I/81Kb-5sSTLL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00BV1MVJ0,1,144.71,0
B00CEKXJ3Y,Samsung,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",https://www.amazon.com/Samsung-Galaxy-S4-Black-Sprint/dp/B00CEKXJ3Y,https://m.media-amazon.com/images/I/71s9fDfT7UL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00CEKXJ3Y,561,0,0
B00CEKXZA6,Samsung,"Samsung Galaxy S4, White Frost 16GB (Sprint)",https://www.amazon.com/Samsung-Galaxy-S4-White-Sprint/dp/B00CEKXZA6,https://m.media-amazon.com/images/I/81vLTvMW6DL._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00CEKXZA6,354,0,0
B00CGIULGC,Samsung,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,https://www.amazon.com/Samsung-Galaxy-Unlocked-Android-Ruggedized/dp/B00CGIULGC,https://m.media-amazon.com/images/I/81hxAMIxAeL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00CGIULGC,365,0,0
B00D99ZBR6,Samsung,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),https://www.amazon.com/Samsung-Prevail-II-Discontinued-Manufacturer/dp/B00D99ZBR6,https://m.media-amazon.com/images/I/61NDR6WOqPL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00D99ZBR6,314,89,0
B00E6FGSHY,Samsung,"Samsung Galaxy S4, White Frost 16GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-S4-White-Frost/dp/B00E6FGSHY,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B00E6FGSHY,641,154.97,0
B00EP2BN00,Samsung,"Samsung Convoy 3, Gray (Verizon Wireless)",https://www.amazon.com/Samsung-Convoy-Gray-Verizon-Wireless/dp/B00EP2BN00,https://m.media-amazon.com/images/I/71Q7aSSyOkL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00EP2BN00,340,0,0
B00F1HVZ0Q,Samsung,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,https://www.amazon.com/Samsung-Galaxy-M919-T-Mobile-Smartphone/dp/B00F1HVZ0Q,https://m.media-amazon.com/images/I/51hnjqGbVqL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B00F1HVZ0Q,111,229.99,0
B00F2SKPIM,Samsung,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",https://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B00F2SKPIM,https://m.media-amazon.com/images/I/91eFtaIWpcL._AC_UY218_ML3_.jpg,3.9,https://www.amazon.com/product-reviews/B00F2SKPIM,983,0,0
B00F9RRVUG,Samsung,Samsung a157V (AT&T Go Phone) No Annual Contract,https://www.amazon.com/Samsung-a157V-Phone-Annual-Contract/dp/B00F9RRVUG,https://m.media-amazon.com/images/I/415nK4G4hJL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B00F9RRVUG,299,102,0
B00FTV382C,Samsung,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",https://www.amazon.com/SAMSUNG-GALAXY-T-Mobile-locked-white/dp/B00FTV382C,https://m.media-amazon.com/images/I/61pNvD+KDoL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00FTV382C,85,299,0
B00G9G0HTI,Samsung,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",https://www.amazon.com/Samsung-ATIV-Neo-Royal-Blue/dp/B00G9G0HTI,https://m.media-amazon.com/images/I/81QMC1LvX0L._AC_UY218_ML3_.jpg,4,https://www.amazon.com/product-reviews/B00G9G0HTI,10,79,0
B00IZ1X21K,Samsung,"Samsung Galaxy S5, G900P 16GB White - Sprint",https://www.amazon.com/Samsung-Galaxy-S5-G900P-White/dp/B00IZ1X21K,https://m.media-amazon.com/images/I/81CKMjxseIL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B00IZ1X21K,5,269.99,0
B00JEHJMG8,Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),https://www.amazon.com/Samsung-Galaxy-SPH-720T-Tri-Band-Sprint/dp/B00JEHJMG8,https://m.media-amazon.com/images/I/61Uy8S7wD9L._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B00JEHJMG8,135,0,0
B00JH2WF0K,Samsung,"Samsung Gusto 3, Dark Blue, Verizon Wireless",https://www.amazon.com/Samsung-Gusto-Dark-Verizon-Wireless/dp/B00JH2WF0K,https://m.media-amazon.com/images/I/71PZg166cmL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00JH2WF0K,81,0,0
B00JH2WPO6,Samsung,"Samsung ATIV SE, Silver 16GB (Verizon Wireless)",https://www.amazon.com/Samsung-ATIV-SE-Verizon-Wireless/dp/B00JH2WPO6,https://m.media-amazon.com/images/I/81U-7YS706L._AC_UY218_ML3_.jpg,3.8,https://www.amazon.com/product-reviews/B00JH2WPO6,22,0,0
B00JYR6GGM,Samsung,"Samsung Gusto 3, Royal Navy Blue (Verizon Wireless Prepaid) - Discontinued by Manufacturer",https://www.amazon.com/Samsung-Gusto-Verizon-Wireless-Prepaid/dp/B00JYR6GGM,https://m.media-amazon.com/images/I/51ZL33qmCpL._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B00JYR6GGM,262,0,0
B00LAEA84S,Samsung,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,https://www.amazon.com/Samsung-Galaxy-Verizon-Smartphone-Camera/dp/B00LAEA84S,https://m.media-amazon.com/images/I/91s1UjlYJHL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00LAEA84S,627,0,0
B00N532A34,Samsung,"Samsung Galaxy Alpha, Frosted Gold 32GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-Alpha-Frosted-Gold/dp/B00N532A34,https://m.media-amazon.com/images/I/81IpIT71b7L._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B00N532A34,113,0,0
B00N532DU4,Samsung,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-Mega-Brown-Black/dp/B00N532DU4,https://m.media-amazon.com/images/I/81+3p0WndhL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00N532DU4,106,0,0
B00NKR9MJA,Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",https://www.amazon.com/Samsung-Galaxy-Note-Frosted-Sprint/dp/B00NKR9MJA,https://m.media-amazon.com/images/I/A1S4AmmN0pL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B00NKR9MJA,227,259.98,0
B00NKRE7MW,Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Verizon Wireless)",https://www.amazon.com/Samsung-Galaxy-Note-Frosted-Wireless/dp/B00NKRE7MW,https://m.media-amazon.com/images/I/915izMqyC-L._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B00NKRE7MW,1,0,0
B00O2ALRNS,Samsung,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",https://www.amazon.com/Samsung-Galaxy-SGH-I337-Unlocked-Cellphone/dp/B00O2ALRNS,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_ML3_.jpg,2.8,https://www.amazon.com/product-reviews/B00O2ALRNS,175,154.97,0
B00OEK6TWU,Samsung,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,https://www.amazon.com/Samsung-Galaxy-Note-Unlocked-Cellphone/dp/B00OEK6TWU,https://m.media-amazon.com/images/I/91Q7P86ef5L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B00OEK6TWU,431,194,0
